date,open,high,low,close,volume,average,barCount
2026-04-09 01:33:27-04:00,4741.8,4741.8,4741.8,4741.8,0.0,4741.8,0
2026-04-09 01:33:28-04:00,4741.9,4742.0,4741.9,4742.0,5.0,4741.94,3
2026-04-09 01:33:29-04:00,4742.0,4742.0,4742.0,4742.0,0.0,4742.0,0
2026-04-09 01:33:30-04:00,4741.9,4741.9,4741.7,4741.7,5.0,4741.8,3
2026-04-09 01:33:31-04:00,4741.8,4741.8,4741.8,4741.8,2.0,4741.8,1
2026-04-09 01:33:32-04:00,4741.7,4741.7,4741.7,4741.7,1.0,4741.7,1
2026-04-09 01:33:33-04:00,4741.6,4741.6,4741.5,4741.5,5.0,4741.54,2
2026-04-09 01:33:34-04:00,4741.5,4741.5,4741.5,4741.5,0.0,4741.5,0
2026-04-09 01:33:35-04:00,4741.6,4741.6,4741.5,4741.5,3.0,4741.57,2
2026-04-09 01:33:36-04:00,4741.5,4741.5,4741.5,4741.5,0.0,4741.5,0
2026-04-09 01:33:37-04:00,4741.5,4741.5,4741.5,4741.5,0.0,4741.5,0
2026-04-09 01:33:38-04:00,4741.5,4741.5,4741.5,4741.5,1.0,4741.5,1
2026-04-09 01:33:39-04:00,4741.5,4741.5,4741.5,4741.5,0.0,4741.5,0
2026-04-09 01:33:40-04:00,4741.6,4741.6,4741.6,4741.6,1.0,4741.6,1
2026-04-09 01:33:41-04:00,4741.6,4741.6,4741.6,4741.6,1.0,4741.6,1
2026-04-09 01:33:42-04:00,4741.6,4741.6,4741.6,4741.6,0.0,4741.6,0
2026-04-09 01:33:43-04:00,4741.6,4741.6,4741.6,4741.6,0.0,4741.6,0
2026-04-09 01:33:44-04:00,4741.2,4741.6,4741.2,4741.6,3.0,4741.43,3
2026-04-09 01:33:45-04:00,4741.5,4742.1,4741.5,4742.1,5.0,4741.74,2
2026-04-09 01:33:46-04:00,4741.9,4741.9,4741.9,4741.9,1.0,4741.9,1
2026-04-09 01:33:47-04:00,4741.9,4741.9,4741.9,4741.9,0.0,4741.9,0
2026-04-09 01:33:48-04:00,4742.9,4742.9,4742.6,4742.8,7.0,4742.79,4
2026-04-09 01:33:49-04:00,4742.9,4743.3,4742.9,4743.2,8.0,4743.03,5
2026-04-09 01:33:50-04:00,4743.2,4743.2,4743.2,4743.2,1.0,4743.2,1
2026-04-09 01:33:51-04:00,4743.3,4743.3,4743.1,4743.2,5.0,4743.18,4
2026-04-09 01:33:52-04:00,4743.2,4743.2,4743.2,4743.2,0.0,4743.2,0
2026-04-09 01:33:53-04:00,4743.2,4743.2,4743.2,4743.2,0.0,4743.2,0
2026-04-09 01:33:54-04:00,4743.0,4743.0,4743.0,4743.0,2.0,4743.0,1
2026-04-09 01:33:55-04:00,4743.3,4743.3,4743.2,4743.2,3.0,4743.23,3
